round,client,trust
11,9,0.016503082779194135
11,10,0.016503082779195054
11,11,0.12013199418485036
11,12,0.08561955638867633
11,13,0.005211499825009696
11,14,0.13107372785722202
11,15,0.016503082779193337
11,16,0.08312807589126954
11,17,0.01650308277919569
11,18,0.005211499825009696
11,19,0.016503082779195342
12,0,0.016674187653355103
12,1,0.01667418765335446
12,2,0.016674187653353684
12,3,0.005265532943165287
12,4,0.09349397261898368
12,5,0.07106057003680247
12,6,0.07698743574507856
12,7,0.01667418765335427
12,8,0.13755419852428447
12,9,0.0166741876533533
12,10,0.016674187653353933
12,11,0.12831949731734746
12,12,0.07261768820857054
12,13,0.005265532943165287
12,14,0.12471475302752748
12,15,0.016674187653353625
12,16,0.0941644643590745
12,17,0.016674187653355075
12,18,0.005265532943165287
12,19,0.05189732010573841
13,0,0.018165009609533652
13,1,0.018165009609532427
13,2,0.018165009609532195
13,3,0.005736318824063821
13,4,0.11191085760202375
13,5,0.0181650096095333
13,6,0.08692606504599493
13,7,0.018165009609532955
13,8,0.14763438075243998
13,9,0.018165009609532913
13,10,0.018165009609532556
13,11,0.13046584974668188
13,12,0.10218833003226603
13,13,0.005736318824063821
13,14,0.12083858999823156
13,15,0.01816500960953252
13,16,0.10117687425455402
13,17,0.01816500960953359
13,18,0.005736318824063821
13,19,0.018165009609533413
14,0,0.018310570622989405
14,1,0.018310570622988076
14,2,0.07738834884727251
14,3,0.005782285459891957
14,4,0.1081498711774171
14,5,0.018310570622989044
14,6,0.07687276000363231
14,7,0.018310570622988565
14,8,0.1471568849240344
14,9,0.01831057062298766
14,10,0.01831057062298821
14,11,0.12534666011036885
14,12,0.09798339537935133
14,13,0.018310570622929196
14,14,0.03776580501649718
14,15,0.01831057062298754
14,16,0.09680732230753644
14,17,0.01831057062298931
14,18,0.005782285459891957
14,19,0.05616924570697988
15,0,0.01815354608017886
15,1,0.043620204804406856
15,2,0.042263403496578304
15,3,0.0057326987621623155
15,4,0.09413666061907741
15,5,0.02051403989597055
15,6,0.09743695281998012
15,7,0.018153546080178225
15,8,0.13235992175700817
15,9,0.01815354608017844
15,10,0.018153546080177926
15,11,0.09878043654447842
15,12,0.07700772101386301
15,13,0.018153546080173905
15,14,0.10607016113809702
15,15,0.01815354608017593
15,16,0.09509169868106149
15,17,0.018153546080178804
15,18,0.0057326987621623155
15,19,0.05417857914362534
16,0,0.01901945773924309
16,1,0.01901945773924005
16,2,0.08702303152596061
16,3,0.006006144549235283
16,4,0.09657997522304845
16,5,0.01901945773924308
16,6,0.07605703614398478
16,7,0.019019457739242327
16,8,0.10250533241933558
16,9,0.019019457739243118
16,10,0.019019457739242313
16,11,0.09396245430682189
16,12,0.08509498847515115
16,13,0.019019457739191375
16,14,0.11729123947980605
16,15,0.019019457739240245
16,16,0.10037498689784645
16,17,0.019019457739242997
16,18,0.006006144549235283
16,19,0.0579235467761456
17,0,0.01878110951358656
17,1,0.018781109513581435
17,2,0.12554009662044308
17,3,0.0059308766885016375
17,4,0.10763959952706532
17,5,0.03239292338260842
17,6,0.08987093967021544
17,7,0.01878110951358553
17,8,0.018781109513585366
17,9,0.01878110951358498
17,10,0.018781109513584117
17,11,0.12298272608568828
17,12,0.0897847170625692
17,13,0.018781109513584415
17,14,0.08748521486703997
17,15,0.018781109513580915
17,16,0.1048039122360639
17,17,0.01878110951358662
17,18,0.0059308766885016375
17,19,0.05860813154874658
18,0,0.019849861000694646
18,1,0.10916592934951316
18,2,0.13862311220849918
18,3,0.0062683771581147464
18,4,0.09678370347894018
18,5,0.019849861000694753
18,6,0.10453529312403995
18,7,0.01984986100069378
18,8,0.1136617110079021
18,9,0.01984986100069254
18,10,0.019849861000694136
18,11,0.129046307369174
18,12,0.035158265598312616
18,13,0.019849861000693986
18,14,0.01984986100069403
18,15,0.019849861000691155
18,16,0.0198498610006935
18,17,0.01984986100069469
18,18,0.0062683771581147464
18,19,0.06199031354013862
19,0,0.01799251397262725
19,1,0.08559200253929801
19,2,0.13107365068227567
19,3,0.005681846517672407
19,4,0.0832010461923017
19,5,0.042685215260979056
19,6,0.08916937626787365
19,7,0.01799251397262645
19,8,0.017992513972626276
19,9,0.017992513972623907
19,10,0.017992513972626183
19,11,0.10935914211726877
19,12,0.01799251397262625
19,13,0.017992513972625596
19,14,0.14277190900811595
19,15,0.017992513972623782
19,16,0.09358331848519881
19,17,0.0179925139726275
19,18,0.005681846517672407
19,19,0.04926802065742629
20,0,0.015098583791291755
20,1,0.1072749294384506
20,2,0.11412539108604804
20,3,0.004767973828829571
20,4,0.09214498097869601
