round,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,mean,std
11,0.0165030827791957,0.0165030827791946,0.0835971650218443,0.0052114998250096,0.1120273650460286,0.0165030827791953,0.085014987995609,0.0165030827791945,0.1352448831264563,0.0165030827791941,0.016503082779195,0.1201319941848503,0.0856195563886763,0.0052114998250096,0.131073727857222,0.0165030827791933,0.0831280758912695,0.0165030827791956,0.0052114998250096,0.0165030827791953,0.04999999999998692,0.04660632552330281
12,0.0166741876533551,0.0166741876533544,0.0166741876533536,0.0052655329431652,0.0934939726189836,0.0710605700368024,0.0769874357450785,0.0166741876533542,0.1375541985242844,0.0166741876533533,0.0166741876533539,0.1283194973173474,0.0726176882085705,0.0052655329431652,0.1247147530275274,0.0166741876533536,0.0941644643590745,0.016674187653355,0.0052655329431652,0.0518973201057384,0.049999999999986805,0.04460920641778026
13,0.0181650096095336,0.0181650096095324,0.0181650096095321,0.0057363188240638,0.1119108576020237,0.0181650096095333,0.0869260650459949,0.0181650096095329,0.1476343807524399,0.0181650096095329,0.0181650096095325,0.1304658497466818,0.102188330032266,0.0057363188240638,0.1208385899982315,0.0181650096095325,0.101176874254554,0.0181650096095335,0.0057363188240638,0.0181650096095334,0.049999999999985605,0.048773456140340246
14,0.0183105706229894,0.018310570622988,0.0773883488472725,0.0057822854598919,0.1081498711774171,0.018310570622989,0.0768727600036323,0.0183105706229885,0.1471568849240344,0.0183105706229876,0.0183105706229882,0.1253466601103688,0.0979833953793513,0.0183105706229291,0.0377658050164971,0.0183105706229875,0.0968073223075364,0.0183105706229893,0.0057822854598919,0.0561692457069798,0.0499999999999855,0.04335880107796039
15,0.0181535460801788,0.0436202048044068,0.0422634034965783,0.0057326987621623,0.0941366606190774,0.0205140398959705,0.0974369528199801,0.0181535460801782,0.1323599217570081,0.0181535460801784,0.0181535460801779,0.0987804365444784,0.077007721013863,0.0181535460801739,0.106070161138097,0.0181535460801759,0.0950916986810614,0.0181535460801788,0.0057326987621623,0.0541785791436253,0.04999999999998565,0.03954335699383812
16,0.019019457739243,0.01901945773924,0.0870230315259606,0.0060061445492352,0.0965799752230484,0.019019457739243,0.0760570361439847,0.0190194577392423,0.1025053324193355,0.0190194577392431,0.0190194577392423,0.0939624543068218,0.0850949884751511,0.0190194577391913,0.117291239479806,0.0190194577392402,0.1003749868978464,0.0190194577392429,0.0060061445492352,0.0579235467761456,0.04999999999998493,0.03858635189931866
17,0.0187811095135865,0.0187811095135814,0.125540096620443,0.0059308766885016,0.1076395995270653,0.0323929233826084,0.0898709396702154,0.0187811095135855,0.0187811095135853,0.0187811095135849,0.0187811095135841,0.1229827260856882,0.0897847170625692,0.0187811095135844,0.0874852148670399,0.0187811095135809,0.1048039122360639,0.0187811095135866,0.0059308766885016,0.0586081315487465,0.049999999999985126,0.04181870995941322
18,0.0198498610006946,0.1091659293495131,0.1386231122084991,0.0062683771581147,0.0967837034789401,0.0198498610006947,0.1045352931240399,0.0198498610006937,0.1136617110079021,0.0198498610006925,0.0198498610006941,0.129046307369174,0.0351582655983126,0.0198498610006939,0.019849861000694,0.0198498610006911,0.0198498610006935,0.0198498610006946,0.0062683771581147,0.0619903135401386,0.04999999999998428,0.04477603804837109
19,0.0179925139726272,0.085592002539298,0.1310736506822756,0.0056818465176724,0.0832010461923017,0.042685215260979,0.0891693762678736,0.0179925139726264,0.0179925139726262,0.0179925139726239,0.0179925139726261,0.1093591421172687,0.0179925139726262,0.0179925139726255,0.1427719090081159,0.0179925139726237,0.0935833184851988,0.0179925139726275,0.0056818465176724,0.0492680206574262,0.04999999999998576,0.043421463166913546
20,0.0150985837912917,0.1072749294384506,0.114125391086048,0.0047679738288295,0.092144980978696,0.0150985837912921,0.0648955647697186,0.015098583791291,0.1118770153047939,0.0150985837912905,0.0150985837912898,0.1191993457207286,0.0150985837912907,0.015098583791288,0.0796403511610956,0.0746500092603238,0.0685545044860974,0.0150985837912921,0.0047679738288295,0.0373132898058231,0.04999999999998803,0.041131504897510336
21,0.0143813116640577,0.0971148877567925,0.1108477108394696,0.0045414668412819,0.0869890177727047,0.0788057291463419,0.0964863252091433,0.0143813116640573,0.014381311664057,0.0143813116640373,0.0143813116640303,0.1073885759391859,0.0143813116640571,0.0143813116640461,0.1058372864164197,0.0991067448940441,0.0789089833666477,0.0143813116640581,0.0045414668412819,0.014381311664058,0.04999999999998861,0.04212530147104919
22,0.0161022400818292,0.104292574448708,0.1053542801852542,0.0050849179205783,0.0810762958994479,0.0161022400818298,0.056591230458984,0.016102240081829,0.0895266424718485,0.0161022400818272,0.0161022400818219,0.0965101708525921,0.0161022400818286,0.0161022400818261,0.1104257766311453,0.1181350223342329,0.0829980101399241,0.0161022400818297,0.0050849179205783,0.0161022400818296,0.049999999999987235,0.04153630260718626
23,0.0194298739511349,0.1367852076808565,0.126710321621684,0.0061357496687803,0.1074905853450855,0.0194298739511357,0.0693104373363288,0.0194298739511348,0.019429873951135,0.0194298739511339,0.0194298739511351,0.0975639644579102,0.0194298739511341,0.0194298739511329,0.1114164906650238,0.0507285785715726,0.0934241754723226,0.0194298739511357,0.0061357496687803,0.0194298739511355,0.04999999999998461,0.04370822747056534
